Time (UTC),Time (UTC+7),t_sec,Plane,SatInPlane,SatID,RAAN(deg),M0(deg),Azimuth (deg),Elevation (deg),Slant Range (m),Sat Lat (deg),Sat Lon (deg),Sat Alt (m)
2024-10-21 16:41:40.000,2024-10-21 23:41:40.000,60100,2,0,P02-S00,144.0,36.0,174.98524490396653,2.1708808507505286,2591926.6725200554,-2.991628234701486,100.82020347005694,600057.7957948679
2024-10-21 16:41:40.000,2024-10-21 23:41:40.000,60100,4,1,P04-S01,288.0,162.0,246.10028341611726,7.9340859564062685,2084712.7454135572,11.216679695783238,82.95332472405636,600803.0967019908
2024-10-21 16:41:50.000,2024-10-21 23:41:50.000,60110,2,0,P02-S00,144.0,36.0,173.4324722742381,2.248799248307546,2584082.750364069,-2.8655862012243714,101.38698942308051,600053.0322130537
2024-10-21 16:41:50.000,2024-10-21 23:41:50.000,60110,4,1,P04-S01,288.0,162.0,245.00677598187627,8.633674912384118,2031394.116638873,11.167434911515056,83.54201517596988,600796.1477864543
2024-10-21 16:42:00.000,2024-10-21 23:42:00.000,60120,2,0,P02-S00,144.0,36.0,171.87107901909064,2.3110296691211816,2577852.4213051526,-2.7392211555477526,101.95364282975792,600048.4615722215
2024-10-21 16:42:00.000,2024-10-21 23:42:00.000,60120,4,1,P04-S01,288.0,162.0,243.84996762980705,9.348499949071394,1978853.9166934236,11.116872178439383,84.13049140206499,600789.0431212522
2024-10-21 16:42:10.000,2024-10-21 23:42:10.000,60130,2,0,P02-S00,144.0,36.0,170.30299494987108,2.357319797970297,2573248.2612295253,-2.6125474271722524,102.5201692545149,600044.0860180501
2024-10-21 16:42:10.000,2024-10-21 23:42:10.000,60130,4,1,P04-S01,288.0,162.0,242.6250344809131,10.078620227320163,1927161.3703518806,11.064998050880945,84.71874885579304,600781.7860385552
2024-10-21 16:42:20.000,2024-10-21 23:42:20.000,60140,2,0,P02-S00,144.0,36.0,168.7302041249918,2.3874795155125597,2570279.697640376,-2.485579368967772,103.0865743143901,600039.9076046525
2024-10-21 16:42:20.000,2024-10-21 23:42:20.000,60140,4,1,P04-S01,288.0,162.0,241.32679538399577,10.823916702580451,1876392.000839151,11.011819244489473,85.30678310276399,600774.3799420409
2024-10-21 16:42:30.000,2024-10-21 23:42:30.000,60150,2,0,P02-S00,144.0,36.0,167.15472936688946,2.4013836869112346,2568952.921556268,-2.358331356011264,103.65286367664486,600035.9282935979
2024-10-21 16:42:30.000,2024-10-21 23:42:30.000,60150,4,1,P04-S01,288.0,162.0,239.94970858218272,11.584042924682812,1826628.1530885848,10.957342634757918,85.8945898227921,600766.828305318
2024-10-21 16:42:40.000,2024-10-21 23:42:40.000,60160,2,0,P02-S00,144.0,36.0,165.5786159996399,2.398974016758924,2569270.829286803,-2.2308177844335018,104.2190430563493,600032.1499529993
2024-10-21 16:42:40.000,2024-10-21 23:42:40.000,60160,4,1,P04-S01,288.0,162.0,238.48787850064394,12.358366347535032,1777959.5189352739,10.901575255515615,86.48216481185776,600759.134670278
2024-10-21 16:42:50.000,2024-10-21 23:42:50.000,60170,2,0,P02-S00,144.0,36.0,164.0039151291773,2.380259913858922,2571232.9953792603,-2.1030530702744863,104.78511821398297,600028.5743566323
2024-10-21 16:42:50.000,2024-10-21 23:42:50.000,60170,4,1,P04-S01,288.0,162.0,236.9350766624744,13.145899237622995,1730483.6466319975,10.844524297397362,87.06950398402226,600751.3026454616
2024-10-21 16:43:00.000,2024-10-21 23:43:00.000,60180,2,0,P02-S00,144.0,36.0,162.43266680555686,2.3453183393672212,2574835.6773387115,-1.9750516483470908,105.35109495299419,600025.2031831015
2024-10-21 16:43:00.000,2024-10-21 23:43:00.000,60180,4,1,P04-S01,288.0,162.0,235.28478177647582,13.945218625099224,1684306.4105576237,10.78619710628949,87.65660337323843,600743.3359043403
2024-10-21 16:43:10.000,2024-10-21 23:43:10.000,60190,2,0,P02-S00,144.0,36.0,160.8668834109196,2.2942926430614157,2580071.8520129817,-1.8468279711085278,105.9169791173615,600022.0380150406
2024-10-21 16:43:10.000,2024-10-21 23:43:10.000,60190,4,1,P04-S01,288.0,162.0,233.53024518609521,14.75437537491264,1639542.4090786225,10.726601181753825,88.24345913509907,600735.2381836195
2024-10-21 16:43:20.000,2024-10-21 23:43:20.000,60200,2,0,P02-S00,144.0,36.0,159.30853360833854,2.2273904235388895,2586931.282824903,-1.7183965075392422,106.48277658917127,600019.0803383905
2024-10-21 16:43:20.000,2024-10-21 23:43:20.000,60200,4,1,P04-S01,288.0,162.0,231.66458903734687,15.570793470082618,1596315.2493031342,10.66574417543065,88.83006754853619,600727.0132814711
2024-10-21 16:43:30.000,2024-10-21 23:43:30.000,60210,2,0,P02-S00,144.0,36.0,157.75952716589572,2.1448804773755494,2595400.6163548403,-1.5897717420288138,107.04849328613123,600016.3315416798
2024-10-21 16:43:30.000,2024-10-21 23:43:30.000,60210,4,1,P04-S01,288.0,162.0,229.68094555269676,16.39116210639294,1554757.6672022373,10.603633889421618,89.41642501738977,600718.665055762
2024-10-21 16:43:40.000,2024-10-21 23:43:40.000,60220,2,0,P02-S00,144.0,36.0,156.22170093751365,2.047088928118531,2605463.5061662714,-1.46096817326843,107.61413515913094,600013.7929153768
